LG,infMask,window_start,window_end,rec_rate,physical_length,relative_position
chr2,female map,13000000,14000000,0,42067943,0.320909439284921
chr2,male map,14000000,15000000,0,42067943,0.344680508861581
chr2,female map,14000000,15000000,0,42067943,0.344680508861581
chr2,male map,15000000,16000000,0,42067943,0.368451578438242
chr2,female map,15000000,16000000,0,42067943,0.368451578438242
chr2,male map,16000000,17000000,0,42067943,0.392222648014903
chr2,female map,16000000,17000000,0,42067943,0.392222648014903
chr2,male map,17000000,18000000,0,42067943,0.415993717591564
chr2,female map,17000000,18000000,0,42067943,0.415993717591564
chr2,male map,18000000,19000000,0,42067943,0.439764787168224
chr2,female map,18000000,19000000,0,42067943,0.439764787168224
chr2,male map,19000000,20000000,0,42067943,0.463535856744885
chr2,female map,19000000,20000000,0,42067943,0.463535856744885
chr2,male map,20000000,21000000,0,42067943,0.487306926321546
chr2,female map,20000000,21000000,0,42067943,0.487306926321546
chr2,male map,21000000,22000000,0,42067943,0.511077995898207
chr2,female map,21000000,22000000,0,42067943,0.511077995898207
chr2,male map,22000000,23000000,0,42067943,0.534849065474868
chr2,female map,22000000,23000000,0,42067943,0.534849065474868
chr2,male map,23000000,24000000,0,42067943,0.558620135051528
chr2,female map,23000000,24000000,0,42067943,0.558620135051528
chr2,male map,25000000,26000000,0,42067943,0.60616227420485
chr2,female map,25000000,26000000,0,42067943,0.60616227420485
chr2,male map,26000000,27000000,0,42067943,0.629933343781511
chr2,female map,26000000,27000000,0,42067943,0.629933343781511
chr3,male map,16000000,17000000,0,33168691,0.497457074805876
chr3,female map,16000000,17000000,0,33168691,0.497457074805876
chr3,male map,17000000,18000000,0,33168691,0.527605988430475
chr3,female map,17000000,18000000,0,33168691,0.527605988430475
chr3,male map,33000000,33168691,0,33168691,0.997457074805876
chr3,female map,33000000,33168691,0,33168691,0.997457074805876
chr4,male map,12000000,13000000,0,30543443,0.40925314150078
chr4,female map,12000000,13000000,0,30543443,0.40925314150078
chr4,male map,13000000,14000000,0,30543443,0.441993392820842
chr4,female map,13000000,14000000,0,30543443,0.441993392820842
chr6,female map,8000000,9000000,0,29702001,0.286176005448252
chr6,female map,9000000,10000000,0,29702001,0.319843770795106
chr6,female map,24000000,25000000,0,29702001,0.824860250997904
chr6,female map,26000000,27000000,0,29702001,0.892195781691611
chr8,male map,18000000,18198680,0,18198680,0.994541362340565
chr8,female map,18000000,18198680,0,18198680,0.994541362340565
